"player's name","total points","total rebounds","assists","steals","blocks","turnovers","games played","salary","missed field goals","missed free throws","efficiency index"
"Jonas Valanciunas",12.8,9.11666666666667,0.7,0.416666666666667,1.33333333333333,-1.41666666666667,60,4660482,-3.88333333333333,-0.85,13.3596363406196
"Lucas Nogueira",2.24137931034483,1.58620689655172,0.241379310344828,0.413793103448276,0.413793103448276,-0.379310344827586,29,1842000,-0.551724137931034,-0.241379310344828,2.39167317621245
"Jeff Withey",4.25490196078431,3.3921568627451,0.392156862745098,0.411764705882353,1.03921568627451,-0.549019607843137,51,947276,-1.47058823529412,-0.313725490196078,4.60439983547988
"Rudy Gobert",9.13114754098361,10.9508196721311,1.49180327868852,0.737704918032787,2.21311475409836,-1.86885245901639,61,1175880,-2.55737704918033,-2,11.5869240999458
"Tibor Pleiss",2,1.25,0.166666666666667,0.0833333333333333,0.166666666666667,-0.666666666666667,12,3e+06,-1.16666666666667,0,1.80923056686071
"Marcin Gortat",13.4933333333333,9.88,1.41333333333333,0.626666666666667,1.28,-1.61333333333333,75,11217391,-4.41333333333333,-0.813333333333333,14.1677274978161
"Kris Humphries",6.38095238095238,3.38095238095238,0.619047619047619,0.476190476190476,0.333333333333333,-0.666666666666667,21,388025,-2.57142857142857,-0.619047619047619,5.77981147668517
"Mike Scott",6.18666666666667,2.74666666666667,1.04,0.333333333333333,0.226666666666667,-0.56,75,3333333,-2.66666666666667,-0.173333333333333,5.41387553472654
"Paul Millsap",17.0987654320988,9.03703703703704,3.2716049382716,1.81481481481481,1.71604938271605,-2.35802469135802,81,1.9e+07,-6.97530864197531,-1.22222222222222,15.6663378589008
"Amir Johnson",7.30379746835443,6.39240506329114,1.74683544303797,0.658227848101266,1.05063291139241,-1.18987341772152,79,1.2e+07,-2.24050632911392,-0.658227848101266,7.90620934300958
"David Lee",7.13333333333333,4.33333333333333,1.8,0.4,0.433333333333333,-1.26666666666667,30,15493680,-3.5,-0.366666666666667,6.54344518504943
"Jared Sullinger",10.2962962962963,8.30864197530864,2.30864197530864,0.925925925925926,0.580246913580247,-1.25925925925926,81,2269260,-5.61728395061728,-0.716049382716049,10.0152372893233
"Jonas Jerebko",4.35897435897436,3.69230769230769,0.794871794871795,0.256410256410256,0.307692307692308,-0.666666666666667,78,5e+06,-2.15384615384615,-0.217948717948718,4.35018633240509
"Jordan Mickey",1.3125,0.8125,0.0625,0,0.6875,-0.0625,16,1200000,-0.875,-0.3125,1.12306632687689
"Chris McCullough",4.66666666666667,2.83333333333333,0.375,1.16666666666667,0.5,-0.625,24,1140240,-2.70833333333333,-0.5,4.09210817908104
"Thaddeus Young",15.0958904109589,9.04109589041096,1.84931506849315,1.53424657534247,0.506849315068493,-1.86301369863014,73,11200000,-6.41095890410959,-0.794520547945205,13.99328835496
"Thomas Robinson",4.32394366197183,5.05633802816901,0.647887323943662,0.549295774647887,0.507042253521127,-0.971830985915493,71,981300,-2.26760563380282,-0.873239436619718,4.73443905765444
"Willie Reed",4.66666666666667,3.12820512820513,0.256410256410256,0.153846153846154,0.769230769230769,-0.41025641025641,39,947276,-1.46153846153846,-0.641025641025641,4.60250159329507
